TARGET_CLASS_NAME,TARGET_CLASS_IMAGE,SECONDARY_CLASS_NAME_1,SECONDARY_CLASS_IMAGE_1,COSINE_DISTANCE_SCORE_1
akiec,ISIC_0027588.jpg,bcc,ISIC_0024432.jpg,0.9553054979680696
akiec,ISIC_0030076.jpg,bkl,ISIC_0025297.jpg,0.9768018244461552
akiec,ISIC_0028941.jpg,bkl,ISIC_0025431.jpg,0.9799547738660691
akiec,ISIC_0029563.jpg,bkl,ISIC_0026704.jpg,0.9825025532122194
akiec,ISIC_0027795.jpg,bkl,ISIC_0028774.jpg,0.9828946228251663
akiec,ISIC_0031738.jpg,nv,ISIC_0028605.jpg,0.9829763976779053
akiec,ISIC_0030714.jpg,bkl,ISIC_0027435.jpg,0.9831890386481245
akiec,ISIC_0028231.jpg,nv,ISIC_0029119.jpg,0.9832702372218887
akiec,ISIC_0028381.jpg,nv,ISIC_0026145.jpg,0.9835546370889876
akiec,ISIC_0029851.jpg,bkl,ISIC_0032124.jpg,0.9839104059602626
akiec,ISIC_0028619.jpg,nv,ISIC_0029534.jpg,0.9845058625276768
akiec,ISIC_0029279.jpg,nv,ISIC_0030763.jpg,0.9845248475139717
akiec,ISIC_0030408.jpg,bkl,ISIC_0031872.jpg,0.9848535343917127
akiec,ISIC_0025780.jpg,nv,ISIC_0025079.jpg,0.9849932143302944
akiec,ISIC_0031506.jpg,nv,ISIC_0024926.jpg,0.985003456122989
akiec,ISIC_0027303.jpg,nv,ISIC_0030216.jpg,0.9851622475874807
akiec,ISIC_0029417.jpg,nv,ISIC_0028098.jpg,0.9855539703244213
akiec,ISIC_0028854.jpg,nv,ISIC_0030358.jpg,0.9858287704556967
akiec,ISIC_0026171.jpg,nv,ISIC_0025701.jpg,0.9859729807601001
akiec,ISIC_0026992.jpg,nv,ISIC_0030290.jpg,0.9861806658436929
akiec,ISIC_0027668.jpg,nv,ISIC_0028580.jpg,0.9862317738212187
akiec,ISIC_0025948.jpg,nv,ISIC_0031411.jpg,0.9862721700299267
akiec,ISIC_0031119.jpg,bcc,ISIC_0030964.jpg,0.9862805880803359
akiec,ISIC_0026522.jpg,vasc,ISIC_0025707.jpg,0.9866581754782603
akiec,ISIC_0030794.jpg,nv,ISIC_0025563.jpg,0.9868483637832637
akiec,ISIC_0032349.jpg,nv,ISIC_0033265.jpg,0.9870565709318374
akiec,ISIC_0026327.jpg,bkl,ISIC_0028710.jpg,0.9873511097677597
akiec,ISIC_0024539.jpg,nv,ISIC_0029661.jpg,0.9873636900508979
akiec,ISIC_0032455.jpg,nv,ISIC_0029023.jpg,0.987388718595769
akiec,ISIC_0030297.jpg,nv,ISIC_0029535.jpg,0.9880415361618813
akiec,ISIC_0029930.jpg,bkl,ISIC_0025297.jpg,0.9880783873548059
akiec,ISIC_0033550.jpg,nv,ISIC_0031649.jpg,0.9881578900591471
akiec,ISIC_0025427.jpg,nv,ISIC_0026815.jpg,0.9884377211983644
akiec,ISIC_0030280.jpg,nv,ISIC_0026612.jpg,0.9884949249221501
akiec,ISIC_0030142.jpg,bkl,ISIC_0028414.jpg,0.9885683105805358
akiec,ISIC_0027678.jpg,nv,ISIC_0028614.jpg,0.9885725249382913
akiec,ISIC_0030175.jpg,bkl,ISIC_0031138.jpg,0.988700528069629
akiec,ISIC_0030602.jpg,mel,ISIC_0028685.jpg,0.9887089359692371
akiec,ISIC_0025825.jpg,bcc,ISIC_0024595.jpg,0.9887462604688435
akiec,ISIC_0033456.jpg,mel,ISIC_0027863.jpg,0.9888496370392987
akiec,ISIC_0026645.jpg,nv,ISIC_0032274.jpg,0.9889066241205258
akiec,ISIC_0024470.jpg,bkl,ISIC_0028615.jpg,0.9889229145749551
akiec,ISIC_0025953.jpg,bkl,ISIC_0028615.jpg,0.9889980129897414
akiec,ISIC_0024450.jpg,bkl,ISIC_0031888.jpg,0.9890391125356807
akiec,ISIC_0032238.jpg,nv,ISIC_0026295.jpg,0.989437259845893
akiec,ISIC_0029713.jpg,nv,ISIC_0028849.jpg,0.9895225550312128
akiec,ISIC_0029900.jpg,nv,ISIC_0027645.jpg,0.989580794848493
akiec,ISIC_0030991.jpg,bcc,ISIC_0030514.jpg,0.9896733100015251
akiec,ISIC_0025130.jpg,bkl,ISIC_0030323.jpg,0.9897006868642242
akiec,ISIC_0032371.jpg,bkl,ISIC_0025297.jpg,0.9897791305679616
akiec,ISIC_0026872.jpg,nv,ISIC_0028879.jpg,0.9898500321974568
akiec,ISIC_0028820.jpg,nv,ISIC_0025547.jpg,0.9899242012553658
