TARGET_CLASS_NAME,TARGET_CLASS_IMAGE,SECONDARY_CLASS_NAME_1,SECONDARY_CLASS_IMAGE_1,COSINE_DISTANCE_SCORE_1
benign,ISIC_0003174.jpg,malignant,ISIC_0010466.jpg,0.9374522879722775
benign,ISIC_0000075.jpg,malignant,ISIC_0010036.jpg,0.9446990266187844
benign,ISIC_0000210.jpg,malignant,ISIC_0000313.jpg,0.9450170261751547
benign,ISIC_0000275.jpg,malignant,ISIC_0000281.jpg,0.9463717525168989
benign,ISIC_0002251.jpg,malignant,ISIC_0010242.jpg,0.9469233130518039
benign,ISIC_0008280.jpg,malignant,ISIC_0010054.jpg,0.9471067192380662
benign,ISIC_0005666.jpg,malignant,ISIC_0010495.jpg,0.9490216708440744
benign,ISIC_0003005.jpg,malignant,ISIC_0009971.jpg,0.9491018152103552
benign,ISIC_0000000.jpg,malignant,ISIC_0000035.jpg,0.9510353716200428
benign,ISIC_0000269.jpg,malignant,ISIC_0010364.jpg,0.9547002959624991
benign,ISIC_0000999.jpg,malignant,ISIC_0010266.jpg,0.9566398621320645
benign,ISIC_0000100.jpg,malignant,ISIC_0000314.jpg,0.9567648510817218
benign,ISIC_0000016.jpg,malignant,ISIC_0000046.jpg,0.9570476238038678
benign,ISIC_0000229.jpg,malignant,ISIC_0009897.jpg,0.9580781155982295
benign,ISIC_0000252.jpg,malignant,ISIC_0010364.jpg,0.9583221245059848
benign,ISIC_0000214.jpg,malignant,ISIC_0000390.jpg,0.9584386517241068
benign,ISIC_0000203.jpg,malignant,ISIC_0000292.jpg,0.9592443688179514
benign,ISIC_0010228.jpg,malignant,ISIC_0000278.jpg,0.9595748088563604
benign,ISIC_0000426.jpg,malignant,ISIC_0009897.jpg,0.9603078724268482
benign,ISIC_0000204.jpg,malignant,ISIC_0000552.jpg,0.9609744766170087
benign,ISIC_0003308.jpg,malignant,ISIC_0010024.jpg,0.9611709748160889
benign,ISIC_0000249.jpg,malignant,ISIC_0000281.jpg,0.9620776205992468
benign,ISIC_0000073.jpg,malignant,ISIC_0000035.jpg,0.9623149815755364
benign,ISIC_0009758.jpg,malignant,ISIC_0010054.jpg,0.9627468981786882
benign,ISIC_0003346.jpg,malignant,ISIC_0000413.jpg,0.9640335710342685
benign,ISIC_0000359.jpg,malignant,ISIC_0000295.jpg,0.9644204918389244
benign,ISIC_0000103.jpg,malignant,ISIC_0011350.jpg,0.964755927101031
benign,ISIC_0002093.jpg,malignant,ISIC_0009934.jpg,0.9647699254419454
benign,ISIC_0000239.jpg,malignant,ISIC_0000029.jpg,0.9655521937641537
benign,ISIC_0009800.jpg,malignant,ISIC_0010319.jpg,0.965641308437983
benign,ISIC_0004985.jpg,malignant,ISIC_0010054.jpg,0.9657710567668998
benign,ISIC_0002374.jpg,malignant,ISIC_0010241.jpg,0.9659242547039789
benign,ISIC_0009975.jpg,malignant,ISIC_0011125.jpg,0.9660392778274622
benign,ISIC_0000191.jpg,malignant,ISIC_0000294.jpg,0.9661816527175117
benign,ISIC_0000104.jpg,malignant,ISIC_0000314.jpg,0.9662021064749803
benign,ISIC_0001385.jpg,malignant,ISIC_0009971.jpg,0.9667888482366019
benign,ISIC_0005564.jpg,malignant,ISIC_0000292.jpg,0.9671938820128536
benign,ISIC_0000044.jpg,malignant,ISIC_0000146.jpg,0.9672612984016603
benign,ISIC_0000224.jpg,malignant,ISIC_0000552.jpg,0.9679062841607937
benign,ISIC_0000242.jpg,malignant,ISIC_0011118.jpg,0.9682891990614197
benign,ISIC_0000207.jpg,malignant,ISIC_0000294.jpg,0.9687255497669885
benign,ISIC_0000190.jpg,malignant,ISIC_0000552.jpg,0.9693573888547604
benign,ISIC_0000208.jpg,malignant,ISIC_0009897.jpg,0.9695534486355887
benign,ISIC_0000209.jpg,malignant,ISIC_0000280.jpg,0.969631519948019
benign,ISIC_0000038.jpg,malignant,ISIC_0000035.jpg,0.9699002499222156
benign,ISIC_0009962.jpg,malignant,ISIC_0011348.jpg,0.9704102391361809
benign,ISIC_0009944.jpg,malignant,ISIC_0011169.jpg,0.9704120298258152
benign,ISIC_0011120.jpg,malignant,ISIC_0010495.jpg,0.9707633701003967
benign,ISIC_0008403.jpg,malignant,ISIC_0010495.jpg,0.9707925578460423
benign,ISIC_0000045.jpg,malignant,ISIC_0000276.jpg,0.9713376940256038
benign,ISIC_0000274.jpg,malignant,ISIC_0000277.jpg,0.9714991200467736
benign,ISIC_0000048.jpg,malignant,ISIC_0000078.jpg,0.9723195582207012
benign,ISIC_0000192.jpg,malignant,ISIC_0000517.jpg,0.9724617324107865
benign,ISIC_0000337.jpg,malignant,ISIC_0000314.jpg,0.9726214641186562
benign,ISIC_0009953.jpg,malignant,ISIC_0011315.jpg,0.9728215439709327
benign,ISIC_0006940.jpg,malignant,ISIC_0010054.jpg,0.9728608893851596
benign,ISIC_0000215.jpg,malignant,ISIC_0000294.jpg,0.9731355441272276
benign,ISIC_0001372.jpg,malignant,ISIC_0011161.jpg,0.9732325210128404
benign,ISIC_0002975.jpg,malignant,ISIC_0011161.jpg,0.9736327642209607
benign,ISIC_0011214.jpg,malignant,ISIC_0000157.jpg,0.9738253975646848
benign,ISIC_0011382.jpg,malignant,ISIC_0000157.jpg,0.97389493581561
benign,ISIC_0000065.jpg,malignant,ISIC_0000517.jpg,0.973962553074022
benign,ISIC_0005548.jpg,malignant,ISIC_0000548.jpg,0.9744724283812237
benign,ISIC_0001286.jpg,malignant,ISIC_0010266.jpg,0.9745720152256422
